BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
3177495,Save twilight : selected poems of Julio Cortázar / translated by Stephen Kessler.,"Cortázar, Julio","0872867099, 9780872867093",[2016],"City Lights Publishers,",Poetry,acbk,canf,NA,cen,2018-03-01T00:00:00.000,1
2271968,Catholic / Adam Woog.,"Woog, Adam, 1953-",0737722681,[2004],"Kidhaven Press,",Catholic Church Juvenile literature,jcbk,ccnf,NA,cen,2018-03-01T00:00:00.000,1
3138509,"Magical girl apocalypse. Volume 6 / story and art by Kentaro Sato ; translation, Wesley Bridges ; adaptation, Janet Houck.","Sato, Kentaro","1626922349, 9781626922341",[2016],"Seven Seas Entertainment,","Teenage girls Comic books strips etc, Schoolgirls Comic books strips etc, Goth culture Subculture Comic books strips etc, Mantras Comic books strips etc, Magic Comic books strips etc, Zombies Comic books strips etc, Graphic novels",acbk,nycomic,NA,nga,2018-03-01T00:00:00.000,1
2501021,House of many ways / Diana Wynne Jones.,"Jones, Diana Wynne","0061477958, 9780061477959, 9780061477973",[2008],"Greenwillow Books,","Housesitting Juvenile fiction, Magic Juvenile fiction, Wizards Juvenile fiction, Great uncles Juvenile fiction, Fantasy fiction",jcbk,ncfic,NA,bro,2018-03-01T00:00:00.000,1
2646620,Recommendations for prevention of HIV transmission in health-care settings.,,,[1987],"[U.S. Dept. of Health and Human Services, Public Health Service, Centers for Disease Control],","HIV Viruses Prevention, Medical personnel Health and hygiene, AIDS Disease Prevention, Medical care Safety measures",acbk,canf,NA,cen,2018-03-01T00:00:00.000,1
3227506,Ramblin' boy : the letters of Steve Hoyt / edited with commentary by Daniel Leen.,"Leen, Daniel, 1947-","0963291297, 9780963291295",[2016],"Ecodesigns Northwest Publishers,","Hoyt Steve 1947 1972 Correspondence, Leen Daniel 1947 Correspondence, Tramps United States Biography, Nineteen sixties Biography, Bellingham Wash 20th century Biography",acbk,nanf,NA,mag,2018-03-01T00:00:00.000,1
3054408,Modern American snipers : from The legend to The reaper : on the battlefield with special operations snipers / Chris Martin ; foreword by Eric Davis.,"Martin, Chris, 1974-","1250067170, 9781250067173",2014.,"St. Martin's Press,","Snipers United States, Sniping Military science History, Special operations Military science United States History 21st century, United States History Military 21st century",acbk,nanf,NA,glk,2018-03-01T00:00:00.000,1
3181817,The family Fletcher takes Rock Island / Dana Alison Levy.,"Levy, Dana Alison","1101916419, 1101916435, 9781101916414, 9781101916438",[2016],"Random House/Listening Library,","Families Juvenile fiction, Summer Juvenile fiction, Lighthouses Juvenile fiction, Family life Fiction, Neighbors Fiction, Gay fathers Fiction",jccd,ccbocd,NA,cen,2018-03-01T00:00:00.000,1
2683905,Athena. Volume one / written by Doug Murray ; illustrated by Fabiano Neves & Paul Renaud ; colored by Marcelo Maiolo & Paul Renaud ; lettered by Simon Bowland & Zach Matheny ; collection cover by Paul Renaud ; collection design by Bill Tortolini.,"Murray, Doug","1606901141, 9781606901144",[2010],"Dynamite Entertainment,","Athena Greek deity Comic books strips etc, Fantasy comics, Graphic novels",acbk,nacomic,NA,net,2018-03-01T00:00:00.000,1
2996324,Class of '92 : the official story of the team that transformed United / Ian Marshall.,"Marshall, Ian, 1966-","1471102637, 9781471102639",2012.,"Simon & Schuster,","Manchester United Soccer team History, Soccer players England Manchester History",acbk,canf,NA,cen,2018-03-01T00:00:00.000,2
